,title,label,num_label,processed_text
0,"Director, Learning and Support",CLASS1,0,director learning support
1,Customer Service Assistant,CLASS2,1,customer service assistant
2,2023 Internship and Education Program Management Intern,CLASS13,12,internship education program management intern
3,Communications Technician,CLASS13,12,communication technician
4,Emergency Preparedness Officer,CLASS3,2,emergency preparedness officer
5,Engineer IV - Communications,CLASS4,3,engineer iv communication
6,"Coordinator, IT Contract Services",CLASS5,4,coordinator contract service
7,2023 Video Production and Media Intern,CLASS6,5,video production medium intern
8,"Business Analyst, Supply Chain Operations",CLASS7,6,business analyst supply chain operation
9,"Senior Manager, Enterprise Applications",CLASS5,4,senior manager enterprise application
10,"Manager, Rail Car Appearance",CLASS13,12,manager rail car appearance
11,RPM Construction Project Manager,CLASS8,7,rpm construction project manager
12,"2023 Internship and Education Programs, One Summer Chicago Cohort Lead Intern",CLASS1,0,internship education program one summer chicago cohort lead intern
13,Senior Attorney - Torts,CLASS9,8,senior attorney tort
14,Associate Attorney - Torts,CLASS9,8,associate attorney tort
15,Associate Attorney - Corporate,CLASS9,8,associate attorney corporate
16,Legal Assistant - Torts,CLASS9,8,legal assistant tort
17,"Senior Project Manager, Capital Controls - RLE",CLASS10,9,senior project manager capital control rle
18,Project Specialist II - Information Technology,CLASS5,4,project specialist ii information technology
19,"Manager, Rail Instruction",CLASS13,12,manager rail instruction
20,"Manager, Administration - Rail Station Management",CLASS13,12,manager administration rail station management
21,Training Specialist I - Safety,CLASS1,0,training specialist safety
22,Occupational Safety Officer,CLASS3,2,occupational safety officer
23,Rail Janitor Coordinator,CLASS13,12,rail janitor coordinator
24,Rail Customer Service Representative / Security C,CLASS2,1,rail customer service representative security c
25,Project Specialist II - Infrastructure,CLASS13,12,project specialist ii infrastructure
26,"Specialist, Employee Engagement - HR Inreach",CLASS1,0,specialist employee engagement hr inreach
27,Graphic Designer,CLASS5,4,graphic designer
28,FULL TIME BUS OPERATOR,CLASS13,12,full time bus operator
29,Property Accountant I,CLASS10,9,property accountant
30,Executive Assistant I - Training and Workforce Development,CLASS1,0,executive assistant training workforce development
31,"Senior Coordinator, Fare Systems - Innovations",CLASS13,12,senior coordinator fare system innovation
32,Rail Equipment Engineer II,CLASS8,7,rail equipment engineer ii
33,2022 - 2023 Talent Assessment and Analytics Intern,CLASS1,0,talent assessment analytics intern
34,"FTT Coordinator, Rail Car Appearance",CLASS13,12,ftt coordinator rail car appearance
35,"Senior Manager, Transit Systems Support",CLASS2,1,senior manager transit system support
36,Senior Data Engineer,CLASS5,4,senior data engineer
37,"Business Analyst, Procurement Systems",CLASS7,6,business analyst procurement system
38,Business Intelligence Developer,CLASS5,4,business intelligence developer
39,Assembler Helper,CLASS8,7,assembler helper
40,"Specialist, Talent Assessment and Analytics",CLASS1,0,specialist talent assessment analytics
41,Quality Assurance Inspector,CLASS8,7,quality assurance inspector
42,"Vice President, Technology",CLASS5,4,vice president technology
43,System Analyst II,CLASS5,4,system analyst ii
44,"Senior Manager, Signal Engineering",CLASS8,7,senior manager signal engineering
45,"Senior Coordinator, Bus Fare Systems",CLASS13,12,senior coordinator bus fare system
46,"Specialist, Marketing Outreach and Engagement - Inreach",CLASS6,5,specialist marketing outreach engagement inreach
47,"Specialist, Marketing Outreach and Engagement - Outreach",CLASS6,5,specialist marketing outreach engagement outreach
48,"Project Manager, Marketing Outreach and Engagement",CLASS6,5,project manager marketing outreach engagement
49,"Manager, Wage Rate Progression Administration",CLASS1,0,manager wage rate progression administration
50,Signal Engineer I,CLASS8,7,signal engineer
51,Second Chance Programs Training Specialist,CLASS1,0,second chance program training specialist
52,eLearning & Instructional Technology Administrator,CLASS1,0,elearning instructional technology administrator
53,"Analyst, Treasury",CLASS10,9,analyst treasury
54,Project Specialist II - Technology,CLASS5,4,project specialist ii technology
55,"Senior Manager, Asset Management",CLASS10,9,senior manager asset management
56,"Coordinator, AVAS",CLASS5,4,coordinator avas
57,"Training Specialist, Internship & Educational Programs",CLASS1,0,training specialist internship educational program
58,Track Worker,CLASS13,12,track worker
59,Mechanical Engineer II,CLASS8,7,mechanical engineer ii
60,Warehouse Worker I,CLASS7,6,warehouse worker
61,2022-2023 Yearlong Records Center Data Analytics and SharePoint Development Intern,CLASS5,4,yearlong record center data analytics sharepoint development intern
62,2022-2023 Yearlong Talent Acquisition Intern,CLASS1,0,yearlong talent acquisition intern
63,Customer Service Business Systems Analyst,CLASS6,5,customer service business system analyst
64,"Senior Coordinator, Fare Systems - Service Level",CLASS13,12,senior coordinator fare system service level
65,Benefits Services Specialist,CLASS1,0,benefit service specialist
66,Bilingual Customer Service Representative I,CLASS2,1,bilingual customer service representative
67,Power Engineer IV,CLASS8,7,power engineer iv
68,Service Truck Chauffeur I,CLASS13,12,service truck chauffeur
69,Civil Engineer III,CLASS8,7,civil engineer iii
70,Customer Service Representative I,CLASS2,1,customer service representative
71,"Project Manager, Customer Experience Innovations",CLASS5,4,project manager customer experience innovation
72,"Senior Analyst, Ridership Reporting",CLASS13,12,senior analyst ridership reporting
73,"Coordinator, Strategic Business Initiatives",CLASS13,12,coordinator strategic business initiative
74,Rail Capital Oversight Project Manager,CLASS10,9,rail capital oversight project manager
75,2022 – 2023 Yearlong Performance Management Data Analyst Intern,CLASS5,4,⊓ yearlong performance management data analyst intern
76,"Senior Manager, Purchasing",CLASS7,6,senior manager purchasing
77,Car Repairer 'A',CLASS13,12,car repairer
78,2022 - 2023 Yearlong Talent Assessment and Analytics Intern,CLASS1,0,yearlong talent assessment analytics intern
79,2022-2023 Yearlong Intern EEO & Compliance Programs Intern,CLASS3,2,yearlong intern eeo compliance program intern
80,2022-2023 Yearlong Scheduling Data Analytics Intern,CLASS5,4,yearlong scheduling data analytics intern
81,2022-2023 Yearlong Construction Safety Engineering Intern,CLASS8,7,yearlong construction safety engineering intern
82,2022-2023 Yearlong Government Community Relations Internship,CLASS13,12,yearlong government community relation internship
83,"Coordinator, Title VI and Affirmative Action",CLASS13,12,coordinator title vi affirmative action
84,Senior Attorney - Labor & Employment,CLASS9,8,senior attorney labor employment
85,Part Time Bus Operator,CLASS13,12,part time bus operator
86,Senior Internal Auditor,CLASS10,9,senior internal auditor
87,"Coordinator, Curriculum Development - QC",CLASS1,0,coordinator curriculum development qc
88,"Coordinator, Curriculum Development - eLearning",CLASS1,0,coordinator curriculum development elearning
89,"Manager, Signal Engineering",CLASS8,7,manager signal engineering
90,"Coordinator, Internship & Educational Programs",CLASS1,0,coordinator internship educational program
91,"Coordinator, Small Business Development & Outreach",CLASS6,5,coordinator small business development outreach
92,"Manager, Rail Station Management",CLASS13,12,manager rail station management
93,Service Planner - Bus,CLASS13,12,service planner bus
94,P10 Laborer Form- CSA Only,CLASS13,12,p laborer form csa
95,P10 Janitor Form– CSA ONLY,CLASS13,12,p janitor form⊓ csa
96,P10 Material Handler Form– CSA ONLY,CLASS13,12,p material handler form⊓ csa
97,P10 Car Servicer Form- CSA Only,CLASS13,12,p car servicer form csa
98,P10 Track Worker Form– CSA ONLY,CLASS13,12,p track worker form⊓ csa
99,2022 – 2023 Yearlong Business Administration Intern,CLASS1,0,⊓ yearlong business administration intern
100,2022 – 2023 Yearlong Data Analyst Intern – Performance Management,CLASS5,4,⊓ yearlong data analyst intern ⊓ performance management
101,Chief Attorney - Torts,CLASS9,8,chief attorney tort
102,Deputy Chief Engineer - RLE,CLASS8,7,deputy chief engineer rle
103,Project Specialist II - Worker's Compensation Investigations,CLASS1,0,project specialist ii worker compensation investigation
104,Mechanical Unit Assembler,CLASS8,7,mechanical unit assembler
