title,label
"Director, Learning and Support",CLASS1
Customer Service Assistant,CLASS2
2023 Internship and Education Program Management Intern,CLASS13
Communications Technician,CLASS13
Emergency Preparedness Officer,CLASS3
Engineer IV - Communications,CLASS4
"Coordinator, IT Contract Services",CLASS5
2023 Video Production and Media Intern,CLASS6
"Business Analyst, Supply Chain Operations",CLASS7
"Senior Manager, Enterprise Applications",CLASS5
"Manager, Rail Car Appearance",CLASS13
RPM Construction Project Manager,CLASS8
"2023 Internship and Education Programs, One Summer Chicago Cohort Lead Intern",CLASS1
Senior Attorney - Torts,CLASS9
Associate Attorney - Torts,CLASS9
Associate Attorney - Corporate,CLASS9
Legal Assistant - Torts,CLASS9
"Senior Project Manager, Capital Controls - RLE",CLASS10
Project Specialist II - Information Technology,CLASS5
"Manager, Rail Instruction",CLASS13
"Manager, Administration - Rail Station Management",CLASS13
Training Specialist I - Safety,CLASS1
Occupational Safety Officer,CLASS3
Rail Janitor Coordinator,CLASS13
Rail Customer Service Representative / Security C,CLASS2
Project Specialist II - Infrastructure,CLASS13
"Specialist, Employee Engagement - HR Inreach",CLASS1
Graphic Designer,CLASS5
FULL TIME BUS OPERATOR,CLASS13
Property Accountant I,CLASS10
Executive Assistant I - Training and Workforce Development,CLASS1
"Senior Coordinator, Fare Systems - Innovations",CLASS13
Rail Equipment Engineer II,CLASS8
2022 - 2023 Talent Assessment and Analytics Intern,CLASS1
"FTT Coordinator, Rail Car Appearance",CLASS13
"Senior Manager, Transit Systems Support",CLASS2
Senior Data Engineer,CLASS5
"Business Analyst, Procurement Systems",CLASS7
Business Intelligence Developer,CLASS5
Assembler Helper,CLASS8
"Specialist, Talent Assessment and Analytics",CLASS1
Quality Assurance Inspector,CLASS8
"Vice President, Technology",CLASS5
System Analyst II,CLASS5
"Senior Manager, Signal Engineering",CLASS8
"Senior Coordinator, Bus Fare Systems",CLASS13
"Specialist, Marketing Outreach and Engagement - Inreach",CLASS6
"Specialist, Marketing Outreach and Engagement - Outreach",CLASS6
"Project Manager, Marketing Outreach and Engagement",CLASS6
"Manager, Wage Rate Progression Administration",CLASS1
Signal Engineer I,CLASS8
Second Chance Programs Training Specialist,CLASS1
eLearning & Instructional Technology Administrator,CLASS1
"Analyst, Treasury",CLASS10
Project Specialist II - Technology,CLASS5
"Senior Manager, Asset Management",CLASS10
"Coordinator, AVAS",CLASS5
"Training Specialist, Internship & Educational Programs",CLASS1
Track Worker,CLASS13
Mechanical Engineer II,CLASS8
Warehouse Worker I,CLASS7
2022-2023 Yearlong Records Center Data Analytics and SharePoint Development Intern,CLASS5
2022-2023 Yearlong Talent Acquisition Intern,CLASS1
Customer Service Business Systems Analyst,CLASS6
"Senior Coordinator, Fare Systems - Service Level",CLASS13
Benefits Services Specialist,CLASS1
Bilingual Customer Service Representative I,CLASS2
Power Engineer IV,CLASS8
Service Truck Chauffeur I,CLASS13
Civil Engineer III,CLASS8
Customer Service Representative I,CLASS2
"Project Manager, Customer Experience Innovations",CLASS5
"Senior Analyst, Ridership Reporting",CLASS13
"Coordinator, Strategic Business Initiatives",CLASS13
Rail Capital Oversight Project Manager,CLASS10
2022 ‚Äì 2023 Yearlong Performance Management Data Analyst Intern,CLASS5
"Senior Manager, Purchasing",CLASS7
Car Repairer 'A',CLASS13
2022 - 2023 Yearlong Talent Assessment and Analytics Intern,CLASS1
2022-2023 Yearlong Intern EEO & Compliance Programs Intern,CLASS3
2022-2023 Yearlong Scheduling Data Analytics Intern,CLASS5
2022-2023 Yearlong Construction Safety Engineering Intern,CLASS8
2022-2023 Yearlong Government Community Relations Internship,CLASS13
"Coordinator, Title VI and Affirmative Action",CLASS13
Senior Attorney - Labor & Employment,CLASS9
Part Time Bus Operator,CLASS13
Senior Internal Auditor,CLASS10
"Coordinator, Curriculum Development - QC",CLASS1
"Coordinator, Curriculum Development - eLearning",CLASS1
"Manager, Signal Engineering",CLASS8
"Coordinator, Internship & Educational Programs",CLASS1
"Coordinator, Small Business Development & Outreach",CLASS6
"Manager, Rail Station Management",CLASS13
Service Planner - Bus,CLASS13
P10 Laborer Form- CSA Only,CLASS13
P10 Janitor Form‚Äì CSA ONLY,CLASS13
P10 Material Handler Form‚Äì CSA ONLY,CLASS13
P10 Car Servicer Form- CSA Only,CLASS13
P10 Track Worker Form‚Äì CSA ONLY,CLASS13
2022 ‚Äì 2023 Yearlong Business Administration Intern,CLASS1
2022 ‚Äì 2023 Yearlong Data Analyst Intern ‚Äì Performance Management,CLASS5
Chief Attorney - Torts,CLASS9
Deputy Chief Engineer - RLE,CLASS8
Project Specialist II - Worker's Compensation Investigations,CLASS1
Mechanical Unit Assembler,CLASS8
Stockroom Clerk - Bus,CLASS13
Electrical Worker,CLASS13
"Administrator, Procurement",CLASS7
Specification/Quality Assurance Engineer IV,CLASS8
"Senior Coordinator, Construction Safety",CLASS13
"Senior Coordinator, HR Marketing, Outreach, & Engagement",CLASS6
Full-Time Temporary Legal Assistant,CLASS9
"Coordinator, Special Services Planning",CLASS13
Accountant I,CLASS10
Accountant II,CLASS10
Grant Accountant I,CLASS10
"Director, Internal Audit",CLASS10
Planner II-Service Analysis (7550),CLASS13
Project Manager I (0355),CLASS5
Bus Mechanic - ED (5401),CLASS13
Director Project Controls (0002B),CLASS10
WSA Rail Equipment Mechanic (5403A),CLASS13
Supv Signal Systems (6102),CLASS13
Customer Information Rep (0402),CLASS2
Fare Enforcement Officer (0443),CLASS13
Apprentice Police Telecommunic (0551),CLASS13
Vice President Bus Operations (0867),CLASS13
VP Rail Operations (0873A),CLASS13
Platform Specialist III-ITS (7558A),CLASS5
Engineering Support Specialist (9952A),CLASS11
Director of Total Rewards (0258A),CLASS1
Financial Resource Analyst (0476E),CLASS10
Benefit Analyst II (7538A),CLASS1
Trans Supv-Training (0376),CLASS1
Bus Student Operator (5200),CLASS13
Applications Administrator-Inf (7560E),CLASS5
Material Mgmt Tech - Dist (0418),CLASS7
Contract Comp Field Supervisor (1010A),CLASS1
AVP Risk Management (1029),CLASS3
Rail Student Operator (1068B),CLASS13
Lead Track Maintainer-CROF (5701),CLASS13
Asst Mgr Bus Dispatch (0346),CLASS13
Sr Mgr Rail Ops Training & Dev (0332S),CLASS1
Director Systems Safety (7534B),CLASS8
Service Desk II (7557B),CLASS13
Mobility Mgt. Services Rep (5209A),CLASS13
Comm Technician -NWROF (1048),CLASS13
Project Mgr I-Service Planning (0940A),CLASS13
Product Manager-ERP (7571C),CLASS5
Supv-PA/Facility Services (0481),CLASS13
Project Mgr IV-Systems Enginee (0575B),CLASS8
Customer Support Rep (7525),CLASS2
Coordinator-Bus Ops (0623B),CLASS13
Sr Mgr Marketing (9945A),CLASS6
Facility Mechanic - ED (5501),CLASS13
Executive Assistant 2 (0195A),CLASS13
DART Police Officer Apprentice (0061),CLASS13
Coordinator-Maint PA (0478),CLASS13
Asst Mgr Ops/Contract Compl (5210),CLASS3
Supv Retail Stores Merch (9937),CLASS6
Program Mgr III (5211),CLASS5
Lead Bus Mechanic - NW (5705),CLASS13
Executive Assistant 3 (0767),CLASS13
Executive Assistant 2 (7535A),CLASS13
Bus Electronic Technician - ED (0192A),CLASS13
Bus Student Operator P/T (3347),CLASS13
Analyst III-Planning Admin (7136),CLASS7
Supv-Rail Services (6119),CLASS13
Director of Talent Acquisition (5906C),CLASS1
Service Desk I (7557A),CLASS13
Lead Mechanic-RCS (5710A),CLASS13
Sr Mgr System Safety & Start-u (0586A),CLASS8
Mechanic - Central Support (5301),CLASS13
Bus Dispatcher I (0375),CLASS13
Analyst IV-Revenue (7144A),CLASS10
VP Capital Design & Constr (7544),CLASS8
Manager-Service Desk (7564C),CLASS13
Applications Administrator-ERP (7574A),CLASS5
AVP Capital Planning (1344),CLASS10
Lead Mechanic-LRV (5710),CLASS13
LRV Structural Mechanic (5406),CLASS13
Internal Auditor III (0930),CLASS10
IT Systems Architect (7570A),CLASS5
Schedule Analyst III (0003),CLASS8
Mechanic - Rail Cntrl Support (5502),CLASS13
Mechanic - Fare Equipment (5503),CLASS13
Maintainer - Traction Power-NW (9929),CLASS13
Facility Mechanic - NW (5501),CLASS13
Material Cntrl Tech-Receiving (0418),CLASS13
HR Representative I-Compensati (7548F),CLASS1
Sr Mgr Procurement (0279A),CLASS7
Director of Bus Operations Sup (0886A),CLASS7
Asst General Counsel (1101I),CLASS9
"Quality Review Specialist - HEDIS - January 3, 2023 Start Date (Temporary)",CLASS8
Public Affairs Manager,CLASS3
Project Manager - Technical,CLASS5
Production Designer,CLASS8
Project Manager ‚Äì Technical,CLASS5
"Quality Review Specialist - HEDIS - January 2, 2023 Start Date (Temporary)",CLASS8
Reimbursement Analyst ‚Äì Rate Development,CLASS10
Mental Health & Substance Use Disorder Services Data Quality Auditor,CLASS1
Marketing Senior Manager - Acquisition,CLASS6
Special Needs Plan (SNP) Compliance Supervisor,CLASS3
Provider Relations Manager,CLASS13
Preadmission Screening Coordinator,CLASS13
Sales & Member Operations Specialist ‚Äì SNP,CLASS6
I-SNP Program Coordinator,CLASS13
"Vice President, Information Technology & Digital Delivery",CLASS5
"Vice President, Configuration & Claims Operations (CCO)",CLASS13
Utilization Review (UR) Supervisor – Outpatient,CLASS13
Utilization Management Liaison – MSS,CLASS13
User Experience (UX) Design Specialist,CLASS5
UAT Analyst Super User,CLASS5
Template Designer,CLASS5
System Engineer Senior – Storage,CLASS5
Supplemental Benefits & Special Projects Manager,CLASS1
